Timestamp,Please state your gender,Age band you fall into?,Your highest education level?,Which of the following best describes your current work situation?,Which of these best describe the community you live in?,Marital Status,"how many children under the age of 18 live with you, in your household?","how many  people aged 18 and over live with you, in your household. please do not count yourself ( Add if necessary: including your partner)?",Who is responsible for day-to-day monetary decisions in your household?,Does your household have a budget?,Which of the following statements best describe your pattern for choosing a financial product/service,Which source of financial information influences you the most?,"Before I buy something, I carefully consider whether I can afford it",I tend to live for today and let tomorrow take care of itself,I find it more satisfying to spend money than to save it for the long term,I pay my bills on time,I am prepared to risk some of my own money when saving or making an investment,I keep a close personal watch on my financial affairs,I set a long term financial goals and strive to achieve them,Money is there to be spent,"In the last 12 months, did your income seem not to cover your living costs?","If yes, how did you manage to make ends meet?","In the past 12 months, have you been saving money in the following forms?","If you lost your main source of income, how long could you do without borrowing money?",Which bracket does your household income fall into?,"Which form of ""more than one"" source of income you have?","Considering all the sources of income, is your household income regular and reliable?",Your retirement is covered under which of the following?,What is your view about saving money?,Do you have any such habits?,"Suppose you put ₹10,000 into a <no fee> savings account with a guaranteed interest of 2% per year. You don't make any further payments into this account and you don't withdraw any money. How much would be in the account at the end of the first year, once the interest payment is made?"
2019/06/24 2:01:18 PM GMT+5:30,Male,20-29,Graduation,Self employed/Business,A large city ( with over  1000 000 people),Single,2,7,Another member of family or[family members],No,I don't compare any products at all,TV/Radio advertisements,2,3,4,1,4,3,3,1,No,Prefer not to say,Saving cash at home,Prefer not to say,"₹50,000-₹1,00,000 monthly",Rental income,Prefer not to answer,None,A means to make ends meet,None of the above,"₹ 10,200.00"
2019/06/24 2:03:05 PM GMT+5:30,Female,20-29,Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Married,One,10,Another member of family or[family members],No,I consider several products from different companies before making decision,Recommendations from independent financial advisor/broker,1,3,3,1,2,2,3,2,No,others,Building up balance of money in bank account,More than 6 months,"above ₹1,00,000 monthly",Working spouse,Yes,Others,A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/06/24 2:04:06 PM GMT+5:30,Female,30-39,Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Married,1,2,You and your partner,Prefer not to answer,I consider several products from different companies before making decision,Product specific information found on the net,1,3,3,2,3,1,2,2,Not applicable,Prefer not to say,Saving an informal savings club,Less than 6 months,"₹50,000-₹1,00,000 monthly",Working spouse,Yes,Employee Provident Fund (EPF),"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",Drinking,Don't know
2019/06/24 2:11:54 PM GMT+5:30,Female,30-39,Post Graduation,In paid employment(Government service),A large city ( with over  1000 000 people),Married,2,3,You and your partner,Yes,I consider several products from different companies before making decision,Product specific information found on the net,1,4,4,3,3,4,2,3,No,,"Investing in financial products like stocks, shares, bonds, trusts, etc",Less than 3 months,"above ₹1,00,000 monthly",Working spouse,Yes,New National Pension Scheme (NPS),A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/06/24 2:17:11 PM GMT+5:30,Male,20-29,Graduation,In paid employment(Private/Corporate sector),"A town ( 15,000 to about 100 000 people)",Single,2,6,Another member of family or[family members],Yes,I consider several products from the same company,Product specific information found on the net,2,2,3,2,2,4,3,3,Yes,others,Saving cash at home,Less than a month,"₹50,000-₹1,00,000 monthly",Parental support,No,None,"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,Don't know
2019/06/24 2:18:05 PM GMT+5:30,Male,20-29,Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Single,0,3,You and another family member,Yes,I consider several products from different companies before making decision,Financial pages of newspaper/magazines,1,4,3,2,2,2,2,2,No,others,Building up balance of money in bank account,Less than a month,"₹10,000-₹50,000 monthly",Parental support,Yes,Public Provident Fund (PPF);None,A means to make ends meet,Drinking;Smoking,"₹ 10,200.00"
2019/06/24 2:22:44 PM GMT+5:30,Male,20-29,Graduation,Student,A city ( 100 000 people to about 1 000 000 people),Single,0,3,Another member of family or[family members],Don't know,I consider several products from different companies before making decision,Product specific information found on the net,2,2,1,3,1,5,4,2,Don't know,others,Don't know,Don't know,"above ₹1,00,000 monthly",Side business,Don't know,None,A means to make ends meet,None of the above,"₹ 10,200.00"
2019/06/24 2:22:45 PM GMT+5:30,Male,30-39,Ph.D/Post Doctorate,Looking for job,A large city ( with over  1000 000 people),Married,1,1,You,Prefer not to answer,Prefer not to answer,TV/Radio advertisements,1,1,1,1,1,1,1,1,Prefer not to say,Don't know,Don't know,Less than a month,"₹10,000-₹50,000 monthly",Not applicable,No,Others,A means to make ends meet,Others,"₹ 10,200.00"
2019/06/24 2:24:39 PM GMT+5:30,Male,20-29,Graduation,In paid employment(Private/Corporate sector),"A town ( 15,000 to about 100 000 people)",Single,Zero,6,You,No,I don't compare any products at all,General advice from friends/relatives/employers,1,4,3,1,3,2,2,1,No,Prefer not to say,Building up balance of money in bank account,Less than 3 months,"above ₹1,00,000 monthly",Parental support,Yes,Employee Provident Fund (EPF),"Source of privilege, luxury, power and prestige",Drinking;Smoking,"₹ 10,200.00"
2019/06/24 2:35:48 PM GMT+5:30,Male,30-39,Graduation,In paid employment(Government service),A city ( 100 000 people to about 1 000 000 people),Married,2,2,You,Yes,I consider several products from different companies before making decision,Financial pages of newspaper/magazines,5,3,2,1,1,1,2,2,No,Prefer not to say,"Investing in financial products like stocks, shares, bonds, trusts, etc",Prefer not to say,"₹50,000-₹1,00,000 monthly",Not applicable,Yes,New National Pension Scheme (NPS),A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/06/24 2:40:25 PM GMT+5:30,Female,20-29,Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Single,None ,3,You and another family member,No,I consider several products from different companies before making decision,Product specific information found on the net,1,4,3,1,2,3,2,2,No,,Have not been actively saving,Less than 6 months,"above ₹1,00,000 monthly",Parental support,Yes,None,"Source of privilege, luxury, power and prestige",None of the above,Don't know
2019/06/24 2:50:40 PM GMT+5:30,Male,20-29,Graduation,Student,A large city ( with over  1000 000 people),Single,4,8,Another member of family or[family members],Yes,I consider several products from different companies before making decision,Product specific information found on the net,1,3,1,2,5,1,2,1,Don't know,,Saving cash at home,Less than a week,"above ₹1,00,000 monthly",Parental support,No,None,"Source of privilege, luxury, power and prestige",None of the above,"₹ 10,220.00"
2019/06/24 2:51:14 PM GMT+5:30,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/06/24 2:55:47 PM GMT+5:30,Female,30-39,Post Graduation,Self employed/Business,A city ( 100 000 people to about 1 000 000 people),Married,None,1,You and your partner,Yes,I consider several products from different companies before making decision,General advice from friends/relatives/employers,1,5,4,1,2,1,1,4,No,Don't know,Building up balance of money in bank account,More than 6 months,"above ₹1,00,000 monthly",Side business,Yes,New National Pension Scheme (NPS);Employee Provident Fund (EPF),"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/06/24 2:56:44 PM GMT+5:30,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/06/24 3:04:40 PM GMT+5:30,Male,18-19,Graduation,Student,A large city ( with over  1000 000 people),Single,1,2,Another member of family or[family members],No,I consider several products from different companies before making decision,General advice from friends/relatives/employers,1,3,4,1,3,3,3,4,Not applicable,,Saving cash at home,Don't know,"above ₹1,00,000 monthly",Not applicable,Don't know,None,"Source of privilege, luxury, power and prestige",None of the above,"₹ 10,200.00"
2019/06/24 3:09:13 PM GMT+5:30,Male,30-39,Ph.D/Post Doctorate,Looking for job,A village or rural area ( fewer than 3000 people),Married,4,2,You and another family member,No,I consider several products from different companies before making decision,TV/Radio advertisements,3,3,4,2,2,2,2,3,No,,Don't know,Don't know,"above ₹1,00,000 monthly",Not applicable,No,None,A means to make ends meet,None of the above,"₹ 10,200.00"
2019/06/24 3:10:16 PM GMT+5:30,Male,20-29,Intermediate,Student,A large city ( with over  1000 000 people),Single,1,7,Another member of family or[family members],Yes,I consider several products from different companies before making decision,others,1,1,1,1,1,1,1,1,Not applicable,Prefer not to say,,,,,,,,,
2019/06/24 3:11:47 PM GMT+5:30,Male,20-29,Graduation,Self employed/Business,A large city ( with over  1000 000 people),Single,0,7,You and your partner,No,I consider several products from different companies before making decision,General advice from friends/relatives/employers,3,2,3,2,1,1,2,3,No,others,Saving cash at home,More than 6 months,"₹10,000-₹50,000 monthly",Rental income,Yes,None,A means to make ends meet,Drinking,"₹ 10,200.00"
2019/06/24 3:20:53 PM GMT+5:30,Male,18-19,Intermediate,Looking for job,A city ( 100 000 people to about 1 000 000 people),Single,,,You,Prefer not to answer,I consider several products from different companies before making decision,"Specialist magazines/publications like Forbes India, Business Today, etc.",2,5,4,1,3,2,2,2,Don't know,Prefer not to say,Saving cash at home,Don't know,"₹10,000-₹50,000 monthly",Not applicable,Prefer not to answer,None,A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/06/24 3:25:46 PM GMT+5:30,Female,20-29,Graduation,Student,"A small town ( 3000 to 15,000 people)",Single,1,2,Another member of family or[family members],No,I consider several products from different companies before making decision,others,1,4,3,1,2,1,2,3,Not applicable,Prefer not to say,Building up balance of money in bank account,Prefer not to say,"₹10,000-₹50,000 monthly",Parental support,Yes,None,A means to make ends meet,None of the above,"₹ 10,200.00"
2019/06/24 3:41:51 PM GMT+5:30,Male,20-29,Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Single,0,3,You and another family member,Yes,I consider several products from different companies before making decision,General advice from friends/relatives/employers,1,5,5,3,3,2,3,3,Not applicable,,Have not been actively saving,Don't know,"₹50,000-₹1,00,000 monthly",Side business,Prefer not to answer,Employee Provident Fund (EPF);Public Provident Fund (PPF),A responsibility for coming generations,Smoking,"₹ 10,200.00"
2019/06/24 3:54:11 PM GMT+5:30,Male,20-29,Graduation,Self employed/Business,A large city ( with over  1000 000 people),Single,No idea,1,You,Don't know,Don't know,General advice from friends/relatives/employers,4,4,3,5,3,3,4,2,No,Existing resources like FDs or selling something you own,Saving cash at home,Don't know,"₹10,000-₹50,000 monthly",Rental income,No,None,Does not consider it important,None of the above,Don't know
2019/06/24 6:13:11 PM GMT+5:30,Male,20-29,Post Graduation,In paid employment(Government service),A large city ( with over  1000 000 people),Married,0,6,Another member of family or[family members],Yes,I consider several products from different companies before making decision,Product specific information found on the net,1,3,2,1,2,1,4,1,No,others,"Investing in financial products like stocks, shares, bonds, trusts, etc",More than 6 months,"₹10,000-₹50,000 monthly",Not applicable,Yes,New National Pension Scheme (NPS),A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/06/24 6:41:49 PM GMT+5:30,Female,20-29,Post Graduation,Prefer not to say,"A town ( 15,000 to about 100 000 people)",Single,1,2,Another member of family or[family members],No,I consider several products from different companies before making decision,Recommendations from independent financial advisor/broker,3,4,3,5,5,3,1,2,Don't know,Creating resources by working overtime,Don't know,Less than a week,"above ₹1,00,000 monthly",Side business,No,None,A means to make ends meet,None of the above,"₹ 10,200.00"
2019/06/24 7:20:42 PM GMT+5:30,Male,20-29,Graduation,Looking for job,A large city ( with over  1000 000 people),Single,0,3,You and another family member,No,I consider several products from different companies before making decision,General advice from friends/relatives/employers,3,4,3,2,2,2,2,2,Not applicable,Creating resources by working overtime,Saving an informal savings club,Less than 3 months,"₹10,000-₹50,000 monthly",Rental income,No,Public Provident Fund (PPF),"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/06/24 7:43:08 PM GMT+5:30,Female,20-29,Graduation,Student,A city ( 100 000 people to about 1 000 000 people),Single,None,2,You and another family member,No,I consider several products from different companies before making decision,,1,5,4,2,3,1,2,4,Yes,Borrowing money from known contacts/resources,Building up balance of money in bank account,Less than a week,"upto ₹10,000 monthly",Not applicable,Yes,Employee Provident Fund (EPF);Public Provident Fund (PPF),"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/06/24 8:46:34 PM GMT+5:30,Male,20-29,Intermediate,Student,A large city ( with over  1000 000 people),Single,0,8,You and another family member,Prefer not to answer,Prefer not to answer,others,1,4,1,1,3,2,3,1,Prefer not to say,others,Prefer not to say,,"₹50,000-₹1,00,000 monthly",,,,,None of the above,"₹ 10,200.00"
2019/06/25 9:11:05 AM GMT+5:30,Male,30-39,Ph.D/Post Doctorate,Apprentice,A village or rural area ( fewer than 3000 people),Single,0,1,Another member of family or[family members],Yes,Don't know,"Specialist magazines/publications like Forbes India, Business Today, etc.",3,5,4,3,4,3,4,2,No,Prefer not to say,Saving an informal savings club,Less than a month,"upto ₹10,000 monthly",Side business,No,Public Provident Fund (PPF),"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",Others,"₹ 10,200.00"
